ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,q_prev_0,q_prev_1,q_prev_2,q_prev_3,q_prev_4,q_prev_5,q_prev_6,q_curr_0,q_curr_1,q_curr_2,q_curr_3,q_curr_4,q_curr_5,q_curr_6
-0.441602,0.067299,0.745427,0.566473,0.614180,0.305725,-0.456534,-1.142699,-0.553476,-1.394155,-1.430894,-1.754943,1.947564,-1.526795,-1.159565,-0.560576,-1.363392,-1.517427,-1.746723,1.928041,-1.434403
-0.439397,0.062168,0.762899,0.570009,0.586219,0.316863,-0.480661,-1.159565,-0.560576,-1.363392,-1.517427,-1.746723,1.928041,-1.434403,-1.168274,-0.477182,-1.418579,-1.488064,-1.730753,1.884589,-1.425534
-0.456754,0.068479,0.746983,0.557089,0.583800,0.335330,-0.486192,-1.168274,-0.477182,-1.418579,-1.488064,-1.730753,1.884589,-1.425534,-1.107648,-0.493371,-1.503177,-1.488943,-1.775875,1.867472,-1.429613
-0.454919,0.125879,0.730474,0.578526,0.541668,0.369242,-0.485349,-1.107648,-0.493371,-1.503177,-1.488943,-1.775875,1.867472,-1.429613,-1.192930,-0.574154,-1.479074,-1.515078,-1.904112,1.906714,-1.415994
-0.453676,0.152793,0.717067,0.622798,0.572793,0.330274,-0.418270,-1.192930,-0.574154,-1.479074,-1.515078,-1.904112,1.906714,-1.415994,-1.228624,-0.639996,-1.437284,-1.497611,-1.784982,1.927723,-1.396609
-0.447786,0.147711,0.756125,0.625590,0.553807,0.315464,-0.449907,-1.228624,-0.639996,-1.437284,-1.497611,-1.784982,1.927723,-1.396609,-1.236970,-0.599157,-1.406029,-1.435025,-1.811048,1.905953,-1.420564
-0.445301,0.103792,0.764401,0.609338,0.542833,0.313693,-0.485423,-1.236970,-0.599157,-1.406029,-1.435025,-1.811048,1.905953,-1.420564,-1.197430,-0.524238,-1.428972,-1.456263,-1.795344,1.893665,-1.372962
-0.439271,0.158427,0.712607,0.591440,0.543191,0.369086,-0.467887,-1.197430,-0.524238,-1.428972,-1.456263,-1.795344,1.893665,-1.372962,-1.310019,-0.565574,-1.468092,-1.572281,-1.843526,1.847907,-1.383017
-0.455040,0.151920,0.693534,0.567123,0.592639,0.359740,-0.444676,-1.310019,-0.565574,-1.468092,-1.572281,-1.843526,1.847907,-1.383017,-1.254371,-0.577827,-1.519633,-1.575129,-1.791067,1.799109,-1.428546
-0.462113,0.130184,0.694351,0.550234,0.627180,0.314894,-0.452471,-1.254371,-0.577827,-1.519633,-1.575129,-1.791067,1.799109,-1.428546,-1.226444,-0.588903,-1.487259,-1.575811,-1.755984,1.747355,-1.429150
0.006061,-0.067931,1.182101,-0.488243,0.335628,-0.174967,0.786358,0.048466,-0.043974,-0.990439,-0.287657,1.665002,1.429231,-1.463948,0.104867,-0.158011,-1.065271,-0.333801,1.738061,1.443360,-1.425582
-0.044780,-0.065237,1.182390,-0.475795,0.313598,-0.190372,0.799396,0.104867,-0.158011,-1.065271,-0.333801,1.738061,1.443360,-1.425582,0.047859,-0.213988,-1.042880,-0.330887,1.765498,1.433977,-1.411674
